timestamps,open,high,low,close
 2022/12/27,37.33,37.64,36.82,37.64
 2022/12/28,37.65,37.97,36.88,37.15
 2022/12/29,36.9,38.59,36.89,38
 2022/12/30,37.91,38.53,37.7,38
 2023/01/03,38.2,39.58,37.7,39.37
 2023/01/04,39.14,39.64,38.83,39.24
 2023/01/05,39.23,39.28,38.8,38.96
 2023/01/06,38.88,39.1,38.37,38.59
 2023/01/09,38.59,38.8,37.18,37.45
 2023/01/10,37.5,37.7,36.36,36.89
 2023/01/11,36.74,37.34,36.36,36.49
 2023/01/12,36.94,37.33,36.28,36.38
 2023/01/13,36.3,36.6,36,36.32
 2023/01/16,36.22,37.23,36.21,37.01
 2023/01/17,37.13,37.95,36.91,37.42
 2023/01/18,37.42,37.7,37.16,37.55
 2023/01/19,37.55,38.25,37.39,38.06
 2023/01/20,38.45,38.45,37.72,38.08
 2023/01/30,38.45,39.58,38.4,39
 2023/01/31,38.87,39.18,38.73,39
 2023/02/01,39.19,39.24,38.8,39.15
 2023/02/02,39.39,39.42,38.35,38.36
 2023/02/03,38.24,38.9,38.14,38.9
 2023/02/06,38.8,39.3,38.45,38.52
 2023/02/07,38.66,38.7,37.96,38.38
 2023/02/08,38.41,38.44,37.6,37.64
 2023/02/09,37.56,38.3,37.42,38.24
 2023/02/10,38.16,38.35,37.32,37.44
 2023/02/13,37.54,38.78,37.48,38.65
 2023/02/14,38.5,38.58,37.71,38.03
 2023/02/15,37.95,38.57,37.76,38.4
 2023/02/16,38.36,39.07,37.18,37.63
 2023/02/17,37.62,37.95,36.92,37.43
 2023/02/20,37.35,37.35,36.88,37.2
 2023/02/21,37.3,39.39,37.3,38.8
 2023/02/22,38.76,39.26,38.47,38.85
 2023/02/23,38.9,39.18,38.17,38.35
 2023/02/24,38.36,39.67,38.24,39.02
 2023/02/27,38.88,39.43,38.4,38.72
 2023/02/28,38.52,38.68,37.85,38.26
 2023/03/01,38.14,38.3,37.81,38.26
 2023/03/02,38.32,38.66,38.15,38.43
 2023/03/03,38.38,39.03,37.9,38.78
 2023/03/06,39.15,39.34,38.53,38.75
 2023/03/07,38.7,38.7,37.4,37.55
 2023/03/08,37.26,37.89,37.25,37.59
 2023/03/09,37.59,37.69,36.98,37.35
 2023/03/10,37.02,37.27,36.7,37.24
 2023/03/13,36.75,37.29,36.73,36.92
 2023/03/14,36.9,37.16,36.37,37.12
 2023/03/15,37.13,37.2,36.29,36.66
 2023/03/16,36.61,36.61,35.48,35.5
 2023/03/17,35.67,35.74,34.68,34.99
 2023/03/20,35.03,35.03,33.89,34.13
 2023/03/21,34.55,35.33,34.55,35.25
 2023/03/22,35.3,35.3,34.69,34.85
 2023/03/23,34.75,35.14,34.47,35.1
 2023/03/24,35,35.09,34.77,35.03
 2023/03/27,34.91,35.19,34.82,35.05
 2023/03/28,35.04,35.04,34.42,34.5
 2023/03/29,34.7,34.72,33.93,34.19
 2023/03/30,34.12,34.55,34.09,34.42
 2023/03/31,34.48,34.5,34.06,34.3
 2023/04/03,33.94,34.31,33.34,34.23
 2023/04/04,34.26,34.56,33.65,33.81
 2023/04/06,33.8,34.89,33.46,34.65
 2023/04/07,34.59,34.99,34.4,34.68
 2023/04/10,34.99,35.14,34.43,34.86
 2023/04/11,34.8,34.82,34.36,34.81
 2023/04/12,34.81,35.08,34.09,34.2
 2023/04/13,34.2,34.42,33.88,34.28
 2023/04/14,34.21,34.55,34.12,34.45
 2023/04/17,34.56,35.09,34.55,34.88
 2023/04/18,34.76,36.45,34.75,35.76
 2023/04/19,35.75,36.18,35.38,35.54
 2023/04/20,35.69,35.69,34.72,35.32
 2023/04/21,37,38.55,36.89,37.78
 2023/04/24,38,38.13,36.15,36.48
 2023/04/25,36.29,36.82,35.07,35.62
 2023/04/26,35.55,36.6,35.2,35.65
 2023/04/27,35.32,36.33,33.85,36.03
 2023/04/28,35.92,35.93,35.3,35.83
 2023/05/04,35.69,36.51,35.5,36.1
 2023/05/05,35.91,36.29,35.41,35.57
 2023/05/08,35.57,36.76,35.5,36.63
 2023/05/09,36.66,36.8,35.32,35.35
 2023/05/10,35.34,35.34,34.67,35.25
 2023/05/11,35.22,35.49,34.6,34.65
 2023/05/12,34.57,34.79,34.2,34.67
 2023/05/15,34.52,35.16,34.5,35.12
 2023/05/16,35.07,35.47,34.73,35.03
 2023/05/17,35.02,35.96,34.88,35.8
 2023/05/18,35.5,35.66,35.27,35.53
 2023/05/19,35.5,35.71,35.1,35.46
 2023/05/22,35.4,35.59,34.83,34.95
 2023/05/23,34.81,35,34.41,34.48
 2023/05/24,34.45,34.82,34.25,34.43
 2023/05/25,34.35,34.78,34.33,34.59
 2023/05/26,34.69,34.73,34.08,34.56
 2023/05/29,35.2,35.29,34.35,34.39
 2023/05/30,34.18,34.48,33.48,34.02
