timestamps,open,high,low,close
 2011/04/26,32,32.2,30.2,30.24
 2011/04/27,29.78,29.8,28.85,28.97
 2011/04/28,29.06,29.25,28.2,28.3
 2011/04/29,28.3,28.7,28.2,28.48
 2011/05/03,28.67,28.68,28.24,28.6
 2011/05/04,28.59,28.59,27.98,28.11
 2011/05/05,28.12,28.34,28.1,28.1
 2011/05/06,28.09,28.09,27.7,27.88
 2011/05/09,27.88,28.38,27.88,27.98
 2011/05/10,28.03,28.18,27.96,28.08
 2011/05/11,28.2,28.3,27.96,28.13
 2011/05/12,28.05,28.25,27.9,27.91
 2011/05/13,27.91,28.39,27.81,28.39
 2011/05/16,28.32,28.89,28.12,28.57
 2011/05/17,28.52,28.72,28.22,28.6
 2011/05/18,28.75,28.75,28.23,28.27
 2011/05/19,28.28,28.44,28,28
 2011/05/20,27.93,28.12,27.9,27.98
 2011/05/23,27.78,28.04,26.85,26.85
 2011/05/24,27.04,27.4,26.61,27.14
 2011/05/25,27.08,27.16,26.5,26.54
 2011/05/26,26.69,26.96,26.2,26.25
 2011/05/27,26.16,26.47,25.63,25.77
 2011/05/30,25.7,26.29,25.52,25.79
 2011/05/31,25.85,26.17,25.82,26.11
 2011/06/01,26.13,26.2,26.06,26.1
 2011/06/02,25.8,25.93,25.32,25.43
 2011/06/03,25.37,25.9,25.37,25.83
 2011/06/07,25.82,25.9,25.52,25.71
 2011/06/09,25.72,26.1,25.47,25.56
 2011/06/10,25.43,25.46,25.01,25.18
 2011/06/13,25.18,25.18,24.71,25.03
 2011/06/14,24.91,25.27,24.87,25.22
 2011/06/15,25.32,25.32,24.85,24.93
 2011/06/16,24.73,24.74,24.22,24.37
 2011/06/17,24.25,24.46,24.04,24.04
 2011/06/20,24.02,24.15,23.86,23.92
 2011/06/21,23.95,24.2,23.8,24.14
 2011/06/22,24.1,24.1,23.81,23.86
 2011/06/23,23.86,24.75,23.62,24.53
 2011/06/24,24.43,25.12,24.33,25.05
 2011/06/27,25.06,25.63,24.97,25.08
 2011/06/28,25.08,25.29,24.95,25.22
 2011/06/29,25.26,26.07,25.26,25.32
 2011/06/30,25.02,25.9,25.02,25.9
 2011/07/01,25.9,26.25,25.71,25.87
 2011/07/04,25.9,26.54,25.81,26.45
 2011/07/05,26.55,26.55,26.27,26.39
 2011/07/06,26.3,26.72,26.03,26.65
 2011/07/07,26.71,27.8,26.53,27.41
 2011/07/08,27.35,27.88,27.01,27.82
 2011/07/11,27.53,28.1,27.5,28.03
 2011/07/12,27.88,27.88,27.01,27.05
 2011/07/13,27.43,28.36,27.09,28.34
 2011/07/14,28.34,28.8,28.1,28.8
 2011/07/15,29,29,28.51,28.78
 2011/07/18,28.78,28.98,28.2,28.33
 2011/07/19,28.33,28.49,28.02,28.18
 2011/07/20,28.24,28.46,27.51,27.69
 2011/07/21,27.88,27.98,27.52,27.82
 2011/07/22,27.82,28.21,27.7,27.95
 2011/07/25,27.91,28.39,27.01,27.31
 2011/07/26,27.3,27.55,27,27.29
 2011/07/27,27.24,28.59,27.05,28.49
 2011/07/28,28.12,29.36,28.1,28.89
 2011/07/29,28.89,29.5,28.59,28.87
 2011/08/01,28.88,29.36,28.48,29.2
 2011/08/02,29.3,29.3,28.3,29.08
 2011/08/03,28.55,29.47,28.45,28.54
 2011/08/04,28.58,28.83,27.57,27.8
 2011/08/05,27,27.55,26.5,27.31
 2011/08/08,27,27.3,25.55,26.69
 2011/08/09,26.2,26.88,25.7,26.6
 2011/08/10,27.16,27.56,27,27.12
 2011/08/11,26.54,27.56,26.54,27.37
 2011/08/12,27.69,27.8,27.37,27.39
 2011/08/15,27.5,28.6,27.31,28.4
 2011/08/16,28.4,28.75,28.25,28.3
 2011/08/17,28.1,28.95,28.03,28.5
 2011/08/18,28.49,28.7,27.64,27.69
 2011/08/19,27.28,27.35,26.92,27.35
