timestamps,open,high,low,close,volume,amount
2024/8/19 11:00,10.47,10.52,10.47,10.5,2181,2290255
2024/8/19 11:05,10.5,10.51,10.47,10.49,414,434603
2024/8/19 11:10,10.48,10.49,10.48,10.48,138,144652
2024/8/19 11:15,10.49,10.49,10.48,10.48,183,191876
2024/8/19 11:20,10.49,10.52,10.47,10.52,1218,1278715
2024/8/19 11:25,10.51,10.52,10.5,10.51,777,816547
2024/8/19 11:30,10.51,10.53,10.51,10.52,527,554316
2024/8/19 13:05,10.52,10.52,10.49,10.49,925,972253
2024/8/19 13:10,10.49,10.49,10.47,10.48,311,325934
2024/8/19 13:15,10.47,10.48,10.46,10.47,362,379024
2024/8/19 13:20,10.47,10.47,10.46,10.47,244,255404
2024/8/19 13:25,10.46,10.47,10.45,10.46,529,553300
2024/8/19 13:30,10.46,10.47,10.46,10.46,132,138076
2024/8/19 13:35,10.46,10.47,10.44,10.45,1102,1152152
2024/8/19 13:40,10.45,10.46,10.44,10.45,394,411641
2024/8/19 13:45,10.46,10.46,10.44,10.44,755,788603
2024/8/19 13:50,10.43,10.44,10.43,10.44,287,299566
2024/8/19 13:55,10.44,10.44,10.43,10.43,124,129379
2024/8/19 14:00,10.43,10.45,10.43,10.44,387,403986
2024/8/19 14:05,10.45,10.45,10.43,10.44,656,684884
2024/8/19 14:10,10.45,10.45,10.43,10.44,228,238026
2024/8/19 14:15,10.44,10.44,10.42,10.43,680,709351
2024/8/19 14:20,10.42,10.43,10.42,10.42,216,225106
2024/8/19 14:25,10.42,10.44,10.42,10.44,477,497495
2024/8/19 14:30,10.43,10.46,10.43,10.45,1025,1070594
2024/8/19 14:35,10.46,10.46,10.44,10.46,958,1001186
2024/8/19 14:40,10.46,10.46,10.45,10.45,594,621168
2024/8/19 14:45,10.45,10.46,10.45,10.45,281,293753
2024/8/19 14:50,10.45,10.46,10.44,10.45,1280,1337340
2024/8/19 14:55,10.45,10.48,10.45,10.48,1042,1090735
2024/8/19 15:00,10.47,10.48,10.45,10.45,962,1006885
2024/8/20 9:35,10.47,10.48,10.35,10.37,4896,5085952
2024/8/20 9:40,10.39,10.45,10.35,10.44,2218,2304656
2024/8/20 9:45,10.44,10.51,10.44,10.5,2345,2458151
2024/8/20 9:50,10.49,10.49,10.45,10.46,851,890914
2024/8/20 9:55,10.46,10.46,10.42,10.42,778,812459
2024/8/20 10:00,10.42,10.42,10.38,10.39,1214,1262367
2024/8/20 10:05,10.39,10.39,10.36,10.36,1740,1803967
2024/8/20 10:10,10.36,10.37,10.33,10.35,2483,2570029
2024/8/20 10:15,10.35,10.36,10.34,10.36,501,518403
2024/8/20 10:20,10.36,10.36,10.34,10.35,1440,1490103
2024/8/20 10:25,10.34,10.36,10.32,10.32,1575,1628207
2024/8/20 10:30,10.33,10.33,10.31,10.31,985,1016216
2024/8/20 10:35,10.31,10.31,10.29,10.3,1739,1791741
